feature,importance
marital-status_Married,0.1486829535410076
age,0.14552452474212374
capital-balance,0.1269641977690063
relationship_Husband,0.093062501952531
hours-per-week,0.08080660706322322
marital-status_NotMarried,0.05356622036242003
education_dropout,0.034695671419059104
education_Masters,0.021993286719790603
relationship_Own-child,0.020520225594861774
education_HighGrad,0.01950105254111716
education_Bachelors,0.01939262928237006
relationship_Wife,0.018707044789529472
occupation_Exec-managerial,0.018113585676111044
occupation_Prof-specialty,0.017708143305628633
relationship_Not-in-family,0.01687419663843061
gender,0.014449731661138302
occupation_Other-service,0.013278757091243439
marital-status_Separated,0.012505524725059848
education_CommunityCollege,0.010000219505291343
workclass_Private,0.008906397297902456
relationship_Unmarried,0.008310335203315478
workclass_Self-emp-not-inc,0.007803027795423799
occupation_Sales,0.006135352121423467
occupation_Craft-repair,0.0058126785453471415
occupation_Farming-fishing,0.005755986350733093
race_White,0.00547427182598499
education_Doctorate,0.0049809245967004905
workclass_Local-gov,0.0049668761516267045
occupation_Adm-clerical,0.004851699551058218
occupation_Machine-op-inspct,0.0044852304020059665
occupation_Transport-moving,0.004163704807924408
native-country_United-States,0.004141463277868559
race_Black,0.003944230709789242
workclass_Self-emp-inc,0.003892506568978587
workclass_State-gov,0.0035489858066054406
occupation_Handlers-cleaners,0.003521729428440104
workclass_Federal-gov,0.0034736984918502926
occupation_Tech-support,0.0034475555774535053
native-country_Outros,0.0033246405552075026
native-country_Mexico,0.0026132163367597197
occupation_Protective-serv,0.00247647100529245
race_Asian-Pac-Islander,0.0022472322141425527
marital-status_Widowed,0.0019308703573106992
relationship_Other-relative,0.00132865974606653
race_Amer-Indian-Eskimo,0.0010323384925433774
native-country_Philippines,0.0004804513911228398
race_Other,0.0004568276607047282
occupation_Priv-house-serv,0.00011471730309535976
workclass_Without-pay,2.9549596200934855e-05
occupation_Armed-Forces,1.2964511781200796e-06
