outer_fold,rank_test_score,mean_test_score,std_test_score,param_rf__max_features,param_rf__n_estimators,param_rf__min_samples_leaf
1,1,0.7031875950980336,0.01184298730801832,11,200,2
1,2,0.7028563813946004,0.01056444604662323,11,300,2
1,3,0.7026391017716929,0.009006100510888558,9,300,2
1,4,0.7025938409088659,0.00798131790833469,9,200,2
1,5,0.7023812134480495,0.010162561522337415,11,500,2
1,6,0.7022714437649346,0.009143198920935947,11,100,2
1,7,0.702269880364708,0.007584031162744017,15,200,2
1,8,0.7016478591200132,0.007368930227340766,15,300,2
1,9,0.7008535328656728,0.007272728106158857,9,100,2
1,10,0.7006023670850744,0.009885067386295937,15,100,2
1,11,0.7005830758787205,0.009717957681036274,9,500,2
1,12,0.7001852215164108,0.008003162175879265,15,500,2
1,13,0.6915706713159686,0.0027427622767392454,50,300,2
1,14,0.6899561988481424,0.0036965212317022354,50,200,2
1,15,0.6895347792037093,0.004642253028037378,50,500,2
1,16,0.6886922313479132,0.0026451490096108987,50,100,2
1,17,0.6654267907134402,0.004905668987521784,15,500,1
1,18,0.6641569249700602,0.006409785164768378,15,300,1
1,19,0.6633601181356559,0.00559634338655272,11,500,1
1,20,0.6632798884670411,0.00597256501850406,15,200,1
1,21,0.6629110733425119,0.005566822758813029,15,100,1
1,22,0.6626625321315842,0.005970367104746582,11,300,1
1,23,0.6624109972984558,0.005495349766022646,50,500,1
1,24,0.6620528939545295,0.005610316191620457,11,200,1
1,25,0.6619109385981127,0.005912736502581472,50,100,1
1,26,0.6618932239916933,0.005180809427806887,9,500,1
1,27,0.6617992340624899,0.003964976980717974,9,300,1
1,28,0.6617360944341625,0.00453783322774428,50,300,1
1,29,0.6617082922915819,0.0062498472542105495,9,200,1
1,30,0.6616816228675316,0.00492131226131106,50,200,1
1,31,0.6604940511352285,0.006876126859658092,9,100,1
1,32,0.6601828307718689,0.005373237482439626,11,100,1
2,1,0.7084470816269182,0.0013335130132075353,11,500,2
2,2,0.7083380927287832,0.0008835893282422677,9,300,2
2,3,0.7080008100169956,0.001082459947850139,11,300,2
2,4,0.7079670153635002,0.0007765756953513985,9,200,2
2,5,0.7076669864451078,0.0007079906848466042,9,100,2
2,6,0.70698106764968,0.0013634040262354458,11,200,2
2,7,0.7065294675042595,0.001121611054840867,9,500,2
2,8,0.7059233010859473,0.0012489348672706476,15,200,2
2,9,0.7051723471696767,0.0006396574015573258,11,100,2
2,10,0.7051042124330144,0.003140204955657364,15,300,2
2,11,0.704447259073611,0.0023711089569466684,15,500,2
2,12,0.704322855123162,0.0018433483657361725,15,100,2
2,13,0.6948289061537897,0.005410895770903376,50,200,2
2,14,0.6945596371707082,0.005212232619177862,50,300,2
2,15,0.6936798362129428,0.003128369319464396,50,100,2
2,16,0.693151560423543,0.004779232904447674,50,500,2
2,17,0.6681512138966959,0.002781041279518256,50,100,1
2,18,0.667754777950815,0.004227780026575262,50,300,1
2,19,0.6673754005432936,0.003244958037071655,50,200,1
2,20,0.6659149201705383,0.003853746796123226,50,500,1
2,21,0.664691363140101,0.002100125604804317,15,200,1
2,22,0.6644644182972153,0.0029431777406496214,15,300,1
2,23,0.6641742408571515,0.00111575957591889,15,100,1
2,24,0.6640466533452837,0.002256509251043769,15,500,1
2,25,0.6624918090294134,0.004149731880637307,11,500,1
2,26,0.6615146653184095,0.00444776803897398,11,300,1
2,27,0.6612019588609904,0.006051162985286488,11,200,1
2,28,0.6601300001137359,0.0038314275286903655,9,200,1
2,29,0.659682997656439,0.004522231699258226,9,100,1
2,30,0.6594905078954141,0.004255961997769961,9,500,1
2,31,0.659099671669516,0.0036753444608756984,11,100,1
2,32,0.6578369711176554,0.0035610001400387037,9,300,1
3,1,0.7077987747929595,0.003681581910049251,9,200,2
3,2,0.7077931110328114,0.0032409636078506556,11,200,2
3,3,0.7075667390083545,0.00233759460986553,9,500,2
3,4,0.7075129325871394,0.002259888077049736,9,300,2
3,5,0.7071935077877792,0.00187538873485099,11,300,2
3,6,0.707173853640355,0.0023192929201383576,11,100,2
3,7,0.7070479124754909,0.0017497424629903636,11,500,2
3,8,0.706999483711007,0.0025260370194957952,9,100,2
3,9,0.7054023051255142,0.003068208257420682,15,500,2
3,10,0.7050001913465093,0.003169592339439413,15,300,2
3,11,0.7048411996177396,0.0026157392129553003,15,200,2
3,12,0.7041729428908942,0.0036180515294445778,15,100,2
3,13,0.6925975115814776,0.006093491911978979,50,100,2
3,14,0.6923327614099848,0.006988402326540057,50,300,2
3,15,0.6919864140471689,0.006254768717126344,50,200,2
3,16,0.6916377612476498,0.006072478682514436,50,500,2
3,17,0.6656045660773954,0.0047396105807922286,15,300,1
3,18,0.6650569318672308,0.005703951601353679,15,200,1
3,19,0.664792624774727,0.00404244594184904,15,500,1
3,20,0.6647577786865496,0.003964580905867329,50,100,1
3,21,0.6645698185165094,0.00477575217952022,50,500,1
3,22,0.6645644204399672,0.005224441525021691,50,200,1
3,23,0.6643577051003232,0.005926463321335551,15,100,1
3,24,0.6641148719483422,0.0045753438270017535,50,300,1
3,25,0.6637741714031894,0.004460081176975183,11,200,1
3,26,0.6633031109855015,0.005526992160521021,11,500,1
3,27,0.6630575631660814,0.006631710910176639,9,200,1
3,28,0.6624330772957364,0.00614932897333055,9,500,1
3,29,0.661946603725128,0.00499457216737999,11,300,1
3,30,0.6619220127477593,0.004700638302529115,11,100,1
3,31,0.6614350446602086,0.005371435364244168,9,300,1
3,32,0.6608086939141437,0.006364290435103198,9,100,1
