rf__max_features,rf__min_samples_leaf,rf__n_estimators,n_oob_valid,oob_accuracy_sklearn,accuracy,f1,recall,precision
9,2,500,45165,0.8382375733421897,0.8382375733421897,0.7090865652624034,0.7952130034830758,0.6397930588488898
9,2,300,45165,0.8379718808812133,0.8379718808812133,0.7083765043436678,0.7937840492989193,0.6395624955026264
9,2,200,45165,0.8373519318056016,0.8373519318056016,0.7076567971983445,0.7940519782084486,0.6382169262795205
11,2,300,45165,0.8394110483781689,0.8394110483781689,0.7074813470457754,0.7833348218272752,0.6450213266656861
15,2,300,45165,0.8419572677958597,0.8419572677958597,0.7068823915900131,0.7686880414396713,0.6542759407069555
11,2,500,45165,0.8389903686482896,0.8389903686482896,0.7067505443987419,0.7826203447351969,0.6442908609661054
15,2,200,45165,0.8415365880659803,0.8415365880659803,0.7064998974779577,0.7693132088952398,0.6531695480740066
11,2,100,45165,0.8386361120336544,0.8386361120336544,0.706484091824406,0.7833348218272752,0.6433653634563192
11,2,200,45165,0.8389239455330455,0.8389239455330455,0.706475690942102,0.7819058676431186,0.6443185163379452
9,2,100,45165,0.8361563157312077,0.8361563157312077,0.7056951956729239,0.7923550951147629,0.6361224636122463
15,2,500,45165,0.8410937672976863,0.8410937672976863,0.7055831316404808,0.7680628739841029,0.6525037936267072
15,2,100,45165,0.8403188309531717,0.8403188309531717,0.7042807938330327,0.7669911583459855,0.6510499583049049
50,2,500,45165,0.8435957046385475,0.8435957046385475,0.698531922157733,0.7309100651960346,0.6689006947282387
50,2,300,45165,0.8424222296025684,0.8424222296025684,0.6963089396202261,0.7286773242832901,0.6666939042327178
50,2,100,45165,0.841558729104395,0.841558729104395,0.6951780541829954,0.7287666339197999,0.6645492303933546
50,2,200,45165,0.841403741835492,0.841403741835492,0.6946327322334485,0.7276056086451728,0.6645187601957586
50,1,500,45165,0.8390567917635338,0.8390567917635338,0.6729947366053354,0.6680360810931499,0.678027556200145
50,1,200,45165,0.837994021919628,0.837994021919628,0.6709538157125512,0.6662498883629544,0.6757246376811594
50,1,100,45165,0.8379275988043839,0.8379275988043839,0.6708929053142703,0.6663391979994642,0.6755092802172928
50,1,300,45165,0.8381047271117016,0.8381047271117016,0.670689965771933,0.6649995534518175,0.6764786045243936
15,1,100,45165,0.8381932912653604,0.8381932912653604,0.6698590531261294,0.6621416450835045,0.6777584788371881
15,1,500,45165,0.8381047271117016,0.8381047271117016,0.6694394213381555,0.6612485487184068,0.6778357594067563
15,1,200,45165,0.8379497398427986,0.8379497398427986,0.6691080066910801,0.6608913101723676,0.6775315876213148
15,1,300,45165,0.8377283294586516,0.8377283294586516,0.66850603826496,0.6599982138072698,0.6772360703812317
11,1,500,45165,0.836665559614746,0.836665559614746,0.6664556675860198,0.6582120210770742,0.674908424908425
11,1,200,45165,0.8365548544226724,0.8365548544226724,0.6661843176268427,0.6578547825310351,0.6747274892369699
11,1,100,45165,0.8364220081921843,0.8364220081921843,0.6659734153178407,0.6577654728945254,0.6743887922351433
11,1,300,45165,0.8365327133842577,0.8365327133842577,0.6658822464587953,0.6570509958024471,0.674954128440367
9,1,300,45165,0.8360013284623049,0.8360013284623049,0.6649174394933273,0.6563365187103688,0.6737257059039238
9,1,200,45165,0.8358020591165726,0.8358020591165726,0.664798408967637,0.6567830668929178,0.6730118056191087
9,1,500,45165,0.8354035204251079,0.8354035204251079,0.6642882947976878,0.6568723765294275,0.6718735726683109
9,1,100,45165,0.8346728661574228,0.8346728661574228,0.6628437260125525,0.6555327319817809,0.6703196347031963
